ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TJLOSIZ,3,TILJSO;TLJSZO,Z;I,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
ZSIJLOT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
TJOLSIZ,4,TILJSO;TLJSZO,Z;I,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gzhilR4A8i0wwRpR4D8xwRpF8g0wwglE8JeAgWGAv?untCM+AAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
ZSIJLTO,3,TLJSZO;TILJSZ;TIJSZO,I;O;L,v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA;v115@9gi0wwilR4A8zhglAtR4D8xwBtF8g0wwAtE8JeAgWG?Aad9VC0/AAA
JOLITZS,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZSJILTO,2,TLJSZO;TILJSZ,I;O,v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA;v115@9gi0wwilR4A8zhglAtR4D8xwBtF8g0wwAtE8JeAgWG?Aad9VC0/AAA
JLOITZS,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZSJILOT,1,TILSZO,J,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA
JLIOTZS,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZSJIOLT,1,TIJSZO,L,v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
